time,temperature,humidity
2025-01-01 00:00:00,28.52810469193533,61.34877311993804
2025-01-01 01:00:00,25.800314416734448,42.728171627006176
2025-01-01 02:00:00,26.95747596821148,50.22879258650723
2025-01-01 03:00:00,29.481786398402917,49.06408074987083
2025-01-01 04:00:00,28.735115980299934,57.66389607179229
2025-01-01 05:00:00,23.04544424024718,57.346793849501424
2025-01-01 06:00:00,26.90017683505118,50.77473712848458
2025-01-01 07:00:00,24.697285583404604,51.89081259801087
2025-01-01 08:00:00,24.793562296412883,45.561071261849435
2025-01-01 09:00:00,25.821197003876744,40.09601765888036
2025-01-01 10:00:00,25.288087142321757,48.260439253369235
2025-01-01 11:00:00,27.90854701392595,50.7817448455199
2025-01-01 12:00:00,26.522075450293986,56.151453403638605
2025-01-01 13:00:00,25.243350032985656,56.01189924392206
2025-01-01 14:00:00,25.88772646549085,48.063365912960236
2025-01-01 15:00:00,25.667348654748533,48.48848624712332
2025-01-01 16:00:00,27.98815814631521,44.75723517466454
2025-01-01 17:00:00,24.589683472468398,42.89991031410513
2025-01-01 18:00:00,25.626135403301802,41.46864904687494
2025-01-01 19:00:00,23.29180852139655,59.75387697615895
2025-01-01 20:00:00,19.894020368331844,47.451739091241734
2025-01-01 21:00:00,26.30723719088072,47.80962849194407
2025-01-01 22:00:00,26.728872397719012,43.73602319975037
2025-01-01 23:00:00,23.515669959187115,53.88745177915955
